brottskod;benamning;upphord;kodgrupp
0658;Fullbordad våldtäkt inkl. grov, utomhus mot pojke 15-17 år (upphörde år 2013);2013;05 - 07
0659;Fullbordad våldtäkt inkl. grov, inomhus mot pojke 15-17 år (upphörde år 2013);2013;05 - 07
0660;Fullbordad våldtäkt inkl. grov, utomhus mot kvinna 18 år eller äldre;;05 - 07
0661;Fullbordad våldtäkt inkl. grov, inomhus mot kvinna 18 år eller äldre;;05 - 07
0662;Fullbordad våldtäkt inkl. grov, utomhus mot man 18 år eller äldre;;05 - 07
0663;Fullbordad våldtäkt inkl. grov, inomhus mot man 18 år eller äldre;;05 - 07
0664;Sex utnyttjande av barn 15-17 år av person av samma kön i nära relation (upphörde år 2009);2009;05 - 07
0665;Sex utnyttjande av barn 15-17 år av person av samma kön, övriga fall (upphörde år 2009);2009;05 - 07
0666;Sex utnyttjande av barn 15-17 år av person av motsatt kön i nära relation  (upphörde år 2009);2009;05 - 07
0667;Sex utnyttjande av barn 15-17 år av person av motsatt kön i övriga fall (upphörde år 2009);2009;05 - 07
0668;Sexuellt ofredande mot barn 15-17 år (upphörde år 2014);2014;05 - 07
0669;Sexuellt utnyttjande av flicka under 15 år  (upphörde år 2024);2024;05 - 07
0670;Sexuellt utnyttjande av pojke under 15 år  (upphörde år 2024);2024;05 - 07
0671;Sexuellt utnyttjande av flicka 15-17 år  (upphörde år 2024);2024;05 - 07
0672;Sexuellt utnyttjande av pojke 15-17 år  (upphörde år 2024);2024;05 - 07
0673;Sexuellt övergrepp mot flicka under 15 år  (upphörde år 2024);2024;05 - 07
0674;Sexuellt övergrepp mot pojke under 15 år  (upphörde år 2024);2024;05 - 07
0675;Sexuellt övergrepp mot flicka 15-17 år;;05 - 07
0676;Sexuellt övergrepp mot pojke 15-17 år  (upphörde år 2024);2024;05 - 07
0682;Kontakt med pojke under 15 år i sexuellt syfte;;05 - 07
0684;Försök till våldtäkt inkl. grov (1 §), mot flicka 15-17 år, utomhus (upphörde år 2024);2024;05 - 07
0685;Försök till våldtäkt inkl. grov (1 §), mot flicka 15-17 år, inomhus (upphörde år 2024);2024;05 - 07
0686;Försök till våldtäkt inkl. grov (1 §), mot pojke 15-17 år, utomhus (upphörde år 2024);2024;05 - 07
0687;Försök till våldtäkt inkl. grov (1 §), mot pojke 15-17 år, inomhus (upphörde år 2024);2024;05 - 07
0688;Fullbordad våldtäkt inkl. grov (1 §), mot flicka 15-17 år, utomhus (upphörde år 2024);2024;05 - 07
0689;Fullbordad våldtäkt inkl. grov (1 §), mot flicka 15-17 år, inomhus (upphörde år 2024);2024;05 - 07
0690;Fullbordad våldtäkt inkl. grov (1 §), mot pojke 15-17 år, utomhus (upphörde år 2024);2024;05 - 07
0691;Fullbordad våldtäkt inkl. grov (1 §), mot pojke 15-17 år, inomhus (upphörde år 2024);2024;05 - 07
0692;Försök till våldtäkt inkl. grov (4 §), mot flicka 15-17 år, utomhus (upphörde år 2024);2024;05 - 07
0693;Försök till våldtäkt inkl. grov (4 §), mot flicka 15-17 år, inomhus (upphörde år 2024);2024;05 - 07
0694;Försök till våldtäkt inkl. grov (4 §), mot pojke 15-17 år, utomhus (upphörde år 2024);2024;05 - 07
0695;Försök till våldtäkt inkl. grov (4 §), mot pojke 15-17 år, inomhus (upphörde år 2024);2024;05 - 07
0696;Fullbordad våldtäkt inkl. grov (4 §), mot flicka 15-17 år, utomhus (upphörde år 2024);2024;05 - 07
0697;Fullbordad våldtäkt inkl. grov (4 §), mot flicka 15-17 år, inomhus (upphörde år 2024);2024;05 - 07
0698;Fullbordad våldtäkt inkl. grov (4 §), mot pojke 15-17 år, utomhus (upphörde år 2024);2024;05 - 07
0699;Fullbordad våldtäkt inkl. grov (4 §), mot pojke 15-17 år, inomhus (upphörde år 2024);2024;05 - 07
0701;Brott mot familj  (upphörde år 1976);1976;05 - 07
0711;Egenmäktighet med barn;;05 - 07
0712;Tvegifte, olovl ingående av äktenskap, olovl partnerskap m.m.;;05 - 07
0713;Otillbörlig påverkan vid adoption av barn;;05 - 07
0801;Tillgrepp motordr fortskaffningsmedel, förs till biltillgrepp;;08
0802;Tillgrepp motordr fortskaffningsmedel, fullb biltillgrepp;;08
0803;Tillgrepp av motordr fortskaffningsmedel, motorcykel;;08
0804;Tillgrepp av motordr fortskaffningsmedel, moped;;08
0805;Tillgrepp av motordr fortskaffningsmedel, båt;;08
0806;Tillgrepp av motordr fortskaffningsmedel, annat (bl a snöskoter);;08
0807;Tillgrepp av ej motordr fortskaffningsmedel, cykel;;08
0808;Tillgrepp av ej motordr fortskaffningsmedel, båt;;08
0809;Tillgrepp ej motordr fortskaffn medel, annat  (upphörde år 2024);2024;08
0810;Inbrottsstöld i kassaskåp/kassavalv/bank-, servicebox o.d. (upphörde år 2013);2013;08
0811;Inbrottsstöld i skola, bibliotek, undervisningslokal, förskola, fritidshem;;08
0812;Inbrottsstöld i idrotts-, bad- och sportanläggning;;08
0813;Inbrottsstöld i läkar- eller tandläkarpraktik, sjukhus;;08
0814;Stöld i biograf, teater, nöjes-, samlings- och ungdomslokal;;08
0815;Inbrottsstöld i hotell, pensionat o.d.;;08
0816;Inbrottsstöld i kafé, konditori, restaurang, näringsställe;;08
0817;Inbrottsstöld i apotek, apoteks- och läkemedelsförråd;;08
